name,num_votes,coun_dist,zip_code,longitude,latitude
Waggener High School,0,26,40207,-85.64017199,38.24400206
Middletown East,2,19,40223,-85.50590857,38.24402528
Main Library,7,4,40203,-85.75735519,38.24406483
Middletown West,3,19,40243,-85.54573895,38.24413939
3rd and York,2,4,40202,-85.75607581,38.24481653
Brown Forman,1,6,40210,-85.78298105,38.24492487
Seneca Park,3,9,40207,-85.66762871,38.24517441
TARC Headquarters,1,6,40203,-85.76870863,38.24608024
Walden Theater and Autodemo,1,4,40204,-85.72793135,38.24685256
JCTC Downtown,1,4,40202,-85.75340115,38.24698415
Norton Hospital / Medical Center West,1,4,40202,-85.74984655,38.24723973
Medical Center East / Chestnut St. at Hancock St.,2,4,40202,-85.74303213,38.24751014
Oxmoor Center,8,18,40222,-85.60965333,38.24758289
The Mall Saint Matthews,10,26,40207,-85.62322789,38.24762599
Theater Square / Kindred,1,4,40202,-85.75870753,38.24769776
Louisville Urban League,1,4,40203,-85.77735707,38.24854245
Southern Baptist Theological Seminary,1,9,40206,-85.69002437,38.24897075
EV Charging Suggestion: St.Matthews/ Eline Library,2,9,40207,-85.64916122,38.24927051
Nia Center,1,6,40211,-85.80029365,38.2492813
Guthrie Street,1,4,40202,-85.75462089,38.24965187
Shawnee Library,1,5,40211,-85.81731118,38.24980342
Ursuline Campus,2,9,40206,-85.67427614,38.24987448
Shelbyville Road Plaza (Trader Joe's),7,26,40207,-85.6310186,38.2502536
Central High School,0,4,40203,-85.77259279,38.25042495
Peterson-Dumesnil House / Barret Middle School,2,9,40206,-85.69639774,38.25058557
PARC,2,4,40202,-85.75901488,38.25060238
U of L ShelbyHurst Campus / Forum Center,2,18,40222,-85.58128232,38.25071973
Medical Center North,2,4,40202,-85.74777636,38.25088889
4th Street Live,3,4,40202,-85.75813276,38.25245594
PARC Louisville Gardens Lot,3,4,40202,-85.76012795,38.25279185
MSD Headquarters,1,4,40203,-85.76286088,38.25302417
Convention Center,2,4,40202,-85.75555792,38.25355338
St. Matthews,4,9,40207,-85.65607822,38.25376472
Kentucky Center for African American Heritage,4,4,40203,-85.77972562,38.25389719
Kentucky International Convention Center,2,4,40202,-85.75700809,38.25391048
Hall of Justice,2,4,40202,-85.76132261,38.25396104
Metro Hall,5,4,40202,-85.75941297,38.2545817
Shawnee Park,4,5,40211,-85.83075334,38.25504663
Trinity High School,2,9,40207,-85.64992059,38.25524211
Cowger Garage,1,4,40202,-85.75660247,38.25537641
Slugger Field / Exteme Park,3,4,40202,-85.74328147,38.25540276
Seventh and Market,0,4,40202,-85.76163383,38.25583038
Butchertown,2,4,40206,-85.72821545,38.256074
Slugger Parking Deck,2,4,40202,-85.76356145,38.25664555
American Printing House for the Blind,2,9,40206,-85.71499011,38.25671733
KFC Yum Center,4,4,40202,-85.7539016,38.25696191
Science Center and LouieLab,5,4,40202,-85.76309498,38.25750391
River Road at Witherspoon Street,1,4,40202,-85.75073417,38.2578934
Belvedere,4,4,40202,-85.75930618,38.25794497
Shawnee Park,2,5,40211,-85.82452617,38.25897032
Hubbards Lane at Westport Road,5,7,40207,-85.63952724,38.25964589
Brownsboro Road at Hillcrest Avenue,2,9,40206,-85.68690577,38.26007965
Shawnee High School,1,5,40212,-85.81692912,38.26037097
Mellwood Arts Center,3,9,40206,-85.71407505,38.26228264
Big Four Bridge,9,4,40206,-85.73613565,38.2625952
Community Boathouse,6,4,40206,-85.73057978,38.26391485
Ormsby Station,0,18,40223,-85.56819167,38.26448526
Brownsboro Road at Chenoweth Lane,3,7,40207,-85.66728001,38.26581209
Anchorage,0,17,40223,-85.54040659,38.2659923
Mark Condon,1,7,40207,-85.66706148,38.26631564
Eastpoint South,1,19,40223,-85.50681136,38.26833245
I-64 at 22nd Street,2,5,40212,-85.78274067,38.26833572
Westport Village,5,7,40222,-85.6152117,38.27025701
I-264 at Bank Street,1,5,40212,-85.80940184,38.27226266
Portland Library,2,5,40212,-85.8009929,38.2751379
River Road at Zorn Avenue,5,9,40207,-85.69816741,38.2772876
Brownsboro Center,2,7,40207,-85.63779731,38.2784787
Future VA Hospital,1,7,40222,-85.63300706,38.27848973
Plantation,0,7,40242,-85.59232778,38.28078645
E.P Sawyer Park,0,17,40223,-85.5564568,38.2815694
Eastpoint North,0,19,40223,-85.51126068,38.28220353
Holiday Manor,3,7,40222,-85.63188649,38.28422627
Locust Grove,1,16,40207,-85.66374113,38.28696586
Westport Road at Hurstbourne Parkway,3,17,40241,-85.57338648,38.28813141
La Grange Road at I-265,3,19,40245,-85.51220834,38.28911614
US 43 at Seminary Drive,0,16,40241,-85.62886901,38.29235933
US 42 at Seminary Drive,0,16,40241,-85.62888418,38.29239348
Louisville Boat Club,2,7,40207,-85.67644178,38.29272952
Ford Kentucky Truck Plant,5,17,40241,-85.53572548,38.29948432
River Road at Lime Kiln Lane,2,16,40222,-85.64767275,38.3151563
Norton Brownsboro,7,16,40241,-85.57439344,38.31551303
US 42 at Wolf Pen Branch Road,2,16,40059,-85.62224051,38.32113612
Meeting Street Norton Commons,0,16,40059,-85.56643902,38.32490102
Prospect Point,2,16,40059,-85.61736992,38.34404873
