Name,Num_Votes,Zip_Code,Longitude,Latitude,Population,Age,AVG_Income
4th Street Live,3,40202,-85.75813276,38.25245594,4267,35.2,8495.0
PARC Louisville Gardens Lot,3,40202,-85.76012795,38.25279185,4267,35.2,8495.0
Convention Center,2,40202,-85.75555792,38.25355338,4267,35.2,8495.0
Kentucky International Convention Center,2,40202,-85.75700809,38.25391048,4267,35.2,8495.0
Hall of Justice,2,40202,-85.76132261,38.25396104,4267,35.2,8495.0
Metro Hall,5,40202,-85.75941297,38.2545817,4267,35.2,8495.0
Cowger Garage,1,40202,-85.75660247,38.25537641,4267,35.2,8495.0
Slugger Field / Exteme Park,3,40202,-85.74328147,38.25540276,4267,35.2,8495.0
Slugger Parking Deck,2,40202,-85.76356145,38.25664555,4267,35.2,8495.0
KFC Yum Center,4,40202,-85.7539016,38.25696191,4267,35.2,8495.0
Science Center and LouieLab,5,40202,-85.76309498,38.25750391,4267,35.2,8495.0
River Road at Witherspoon Street,1,40202,-85.75073417,38.2578934,4267,35.2,8495.0
Belvedere,4,40202,-85.75930618,38.25794497,4267,35.2,8495.0
Brown Forman,1,40210,-85.78298105,38.24492487,14847,34.5,20722.0
Oxmoor Center,8,40222,-85.60965333,38.24758289,21631,41.8,52259.0
U of L ShelbyHurst Campus / Forum Center,2,40222,-85.58128232,38.25071973,21631,41.8,52259.0
Westport Village,5,40222,-85.6152117,38.27025701,21631,41.8,52259.0
Future VA Hospital,1,40222,-85.63300706,38.27848973,21631,41.8,52259.0
Holiday Manor,3,40222,-85.63188649,38.28422627,21631,41.8,52259.0
River Road at Lime Kiln Lane,2,40222,-85.64767275,38.3151563,21631,41.8,52259.0
Southern Baptist Theological Seminary,1,40206,-85.69002437,38.24897075,19670,38.4,34836.0
Ursuline Campus,2,40206,-85.67427614,38.24987448,19670,38.4,34836.0
Peterson-Dumesnil House / Barret Middle School,2,40206,-85.69639774,38.25058557,19670,38.4,34836.0
Butchertown,2,40206,-85.72821545,38.256074,19670,38.4,34836.0
American Printing House for the Blind,2,40206,-85.71499011,38.25671733,19670,38.4,34836.0
Brownsboro Road at Hillcrest Avenue,2,40206,-85.68690577,38.26007965,19670,38.4,34836.0
Mellwood Arts Center,3,40206,-85.71407505,38.26228264,19670,38.4,34836.0
Big Four Bridge,9,40206,-85.73613565,38.2625952,19670,38.4,34836.0
Community Boathouse,6,40206,-85.73057978,38.26391485,19670,38.4,34836.0
Shawnee High School,1,40212,-85.81692912,38.26037097,17848,36.0,23240.0
I-64 at 22nd Street,2,40212,-85.78274067,38.26833572,17848,36.0,23240.0
I-264 at Bank Street,1,40212,-85.80940184,38.27226266,17848,36.0,23240.0
Portland Library,2,40212,-85.8009929,38.2751379,17848,36.0,23240.0
Westport Road at Hurstbourne Parkway,3,40241,-85.57338648,38.28813141,30127,40.5,67211.0
Ford Kentucky Truck Plant,5,40241,-85.53572548,38.29948432,30127,40.5,67211.0
Norton Brownsboro,7,40241,-85.57439344,38.31551303,30127,40.5,67211.0
